Learning Rate,Momentum,Batch Size,Num Epochs,Optimizer,Loss Function,Scheduler,Step Size,Gamma
0.01,0.9,256,100,SGD,CrossEntropyLoss,StepLR,30,0.1
0.01,0.9,256,100,SGD,CrossEntropyLoss,StepLR,30,0.1
0.001,0.9,64,100,SGD,CrossEntropyLoss,StepLR,30,0.1
0.001,0.9,128,100,SGD,CrossEntropyLoss,StepLR,30,0.1
0.01,0.9,256,100,SGD,CrossEntropyLoss,StepLR,30,0.1
0.001,0.9,64,100,SGD,CrossEntropyLoss,StepLR,30,0.1
0.001,0.9,64,100,SGD,CrossEntropyLoss,StepLR,30,0.1
0.001,0.9,64,100,SGD,CrossEntropyLoss,StepLR,30,0.1
0.001,0.9,64,100,,CrossEntropyLoss,StepLR,30,0.1
0.001,0.9,64,100,SGD,CrossEntropyLoss,StepLR,30,0.1
