Learning Rate,Momentum,Batch Size,Num Epochs,Optimizer,Loss Function,Scheduler,Step Size,Gamma
0.01,0.9,128,100,,CrossEntropyLoss,StepLR,30,0.1
0.01,0.9,128,100,,CrossEntropyLoss,StepLR,30,0.1
0.001,Not applicable for Adam,128,100,,CrossEntropyLoss,StepLR,30,0.1
0.01,0.9,128,100,,CrossEntropyLoss,StepLR,30,0.1
0.001,0.9,128,100,,CrossEntropyLoss,StepLR,30,0.1
0.01,0.9,128,100,,CrossEntropyLoss,StepLR,30,0.1
0.01,0.9,128,100,,CrossEntropyLoss,StepLR,30,0.1
0.001,0.9,128,100,,CrossEntropyLoss,StepLR,30,0.1
0.001,0.9,128,100,,CrossEntropyLoss,StepLR,30,0.1
0.01,0.9,128,100,,CrossEntropyLoss,StepLR,30,0.1
